step,loss,future_voltage_loss,observed_reconstruction_loss,endpoint_loss,monotonic_loss,gradient_norm,validation_voltage_rmse_v,validation_endpoint_mae_q,best_validation_voltage_rmse_v,best_step,stale_validations,elapsed_seconds,sampling_seconds,amp_scale,amp_overflow_skips_total,cells,cycles,betas,q_cuts,q_ends
1,0.2636536955833435,0.2297751605510711,0.3103158175945282,0.0028469490353018,0.0082284286618232,0.8417481780052185,0.3639300945901503,0.097935583339931,0.3639300945901503,1,0,1.765289964154363,0.1927251759916544,1.0,0,MATR_b1c29|MATR_b2c13|MATR_b4c4|MATR_b1c41|MATR_b3c21|MATR_b4c8|MATR_b1c45|MATR_b3c11|MATR_b2c31|MATR_b4c41|MATR_b3c10|MATR_b2c17|MATR_b1c16|MATR_b4c37|MATR_b3c40|MATR_b1c17,708|109|613|626|670|411|27|47|414|242|81|250|519|604|383|618,0.2391|0.2321|0.4558|0.7134|0.1712|0.3124|0.6494|0.4716|0.7292|0.1062|0.3784|0.2799|0.5357|0.5807|0.5884|0.4475,0.31775|0.31177|0.66117|0.89516|0.16565|0.40375|0.9278|0.65586|0.86306|0.09128|0.50946|0.37397|0.78189|0.7509|0.82859|0.63084,0.9271|0.97248|0.87457|0.95603|0.86048|0.93669|0.98894|0.97292|0.90681|0.95996|0.96742|0.95639|0.96772|0.91725|0.94988|0.94505
2,0.2661932408809662,0.2359737753868103,0.2669767737388611,0.0035218033008277,0.0084722284227609,0.7834245562553406,,,0.3639300945901503,1,0,1.9418700439855456,0.1569825420156121,1.0,0,MATR_b4c19|MATR_b2c28|MATR_b2c28|MATR_b4c31|MATR_b3c26|MATR_b3c40|MATR_b4c40|MATR_b2c17|MATR_b2c46|MATR_b3c4|MATR_b1c7|MATR_b1c0|MATR_b4c39|MATR_b4c39|MATR_b3c28|MATR_b2c29,27|387|467|183|819|435|194|312|202|470|831|1148|730|734|39|298,0.7028|0.6061|0.7217|0.1421|0.2804|0.5736|0.3061|0.6820|0.4626|0.1287|0.3561|0.1610|0.2193|0.6588|0.5650|0.4490,0.89417|0.81584|0.81756|0.15083|0.35947|0.80716|0.37521|0.87105|0.67639|0.11985|0.50826|0.18365|0.27859|0.73911|0.78504|0.64404,0.95709|0.93259|0.86317|0.95487|0.92176|0.94555|0.96076|0.94451|0.97513|0.96128|0.83451|0.93627|0.81278|0.80632|0.95191|0.96498
3,0.2585741579532623,0.2329767793416977,0.2243528515100479,0.0031620888039469,0.0100837228819727,0.469890683889389,,,0.3639300945901503,1,0,2.080470299348235,0.1315955971367657,1.0,0,MATR_b1c39|MATR_b2c6|MATR_b1c44|MATR_b4c28|MATR_b3c12|MATR_b1c43|MATR_b4c30|MATR_b2c2|MATR_b1c32|MATR_b4c41|MATR_b4c25|MATR_b2c46|MATR_b1c26|MATR_b2c47|MATR_b2c44|MATR_b1c16,69|30|285|799|149|581|686|166|271|308|220|240|437|234|471|63,0.1177|0.2518|0.6032|0.4571|0.5399|0.4498|0.5186|0.4792|0.4563|0.1516|0.7271|0.6032|0.2933|0.5059|0.3927|0.5470,0.1191|0.31891|0.85486|0.66561|0.78637|0.64931|0.56124|0.70792|0.6618|0.15711|0.86347|0.83925|0.39936|0.66504|0.55519|0.79617,0.98698|0.97261|0.97449|0.84549|0.97709|0.86749|0.6755|0.97056|0.97278|0.95761|0.93525|0.96996|0.97195|0.93959|0.76497|0.98818
4,0.2534465491771698,0.2300809919834137,0.1995300054550171,0.0034125533420592,0.0115759326145052,0.4045659005641937,,,0.3639300945901503,1,0,2.173778566066176,0.0867054788395762,1.0,0,MATR_b4c14|MATR_b2c43|MATR_b1c36|MATR_b1c44|MATR_b2c13|MATR_b4c31|MATR_b1c36|MATR_b2c2|MATR_b2c17|MATR_b4c26|MATR_b4c38|MATR_b4c30|MATR_b4c16|MATR_b4c14|MATR_b4c8|MATR_b3c35,400|185|291|379|256|566|288|167|278|465|180|481|375|24|528|960,0.6558|0.2521|0.5257|0.2755|0.6476|0.4884|0.3439|0.7503|0.5678|0.4363|0.1747|0.2244|0.7137|0.6893|0.1019|0.4420,0.85624|0.33221|0.76629|0.37572|0.86151|0.63715|0.47709|0.92958|0.80466|0.66468|0.18499|0.26389|0.88325|0.92297|0.081422|0.53401,0.94982|0.97437|0.97221|0.9609|0.94348|0.78022|0.97262|0.9696|0.95263|0.82523|0.96101|0.90214|0.95115|0.9675|0.91385|0.87688
5,0.2006109654903412,0.1787703484296798,0.1977124512195587,0.0020693624392151,0.0124881714582443,0.3262483179569244,,,0.3639300945901503,1,0,2.2473250082693994,0.0677198050543665,1.0,0,MATR_b1c33|MATR_b3c11|MATR_b1c39|MATR_b3c13|MATR_b3c10|MATR_b4c19|MATR_b3c5|MATR_b3c25|MATR_b3c21|MATR_b2c6|MATR_b1c26|MATR_b2c10|MATR_b1c44|MATR_b1c0|MATR_b2c42|MATR_b2c28,326|526|47|576|833|709|193|162|646|356|367|199|19|1022|22|377,0.7409|0.4234|0.7042|0.3454|0.5865|0.4790|0.5718|0.4662|0.7504|0.6802|0.3774|0.4108|0.4288|0.2661|0.4323|0.4230,0.92586|0.58796|0.94958|0.45371|0.80292|0.60472|0.79335|0.65541|0.80692|0.81151|0.53775|0.56639|0.61042|0.34838|0.61332|0.60611,0.98099|0.9408|0.98735|0.9302|0.92564|0.92543|0.95252|0.96581|0.86824|0.88012|0.97904|0.95476|0.98931|0.94333|0.98474|0.93619
6,0.2381093651056289,0.2180819362401962,0.1636222749948501,0.0036651869304478,0.0137435020878911,0.2754414677619934,,,0.3639300945901503,1,0,2.341272379271686,0.0877751177176833,1.0,0,MATR_b4c27|MATR_b1c31|MATR_b2c14|MATR_b2c35|MATR_b1c0|MATR_b2c31|MATR_b4c39|MATR_b4c24|MATR_b1c20|MATR_b3c25|MATR_b2c11|MATR_b1c45|MATR_b4c14|MATR_b4c17|MATR_b2c45|MATR_b4c38,261|674|423|271|1833|486|695|90|188|689|61|573|679|143|323|1200,0.7442|0.2095|0.6668|0.3372|0.7167|0.4766|0.2945|0.3443|0.5613|0.5659|0.2481|0.1535|0.4546|0.3694|0.6191|0.4033,0.88572|0.25985|0.80255|0.46247|0.76728|0.66023|0.38344|0.40654|0.81152|0.76945|0.31513|0.17278|0.52582|0.46581|0.83181|0.46637,0.93574|0.94501|0.89353|0.95142|0.80846|0.80782|0.85854|0.95225|0.94418|0.93798|0.97685|0.82637|0.65761|0.94441|0.94434|0.77684
7,0.1784488558769226,0.1558829843997955,0.1728364676237106,0.0052822157740592,0.015037321485579,0.5494070649147034,,,0.3639300945901503,1,0,2.4381227451376617,0.0911944271065294,1.0,0,MATR_b4c4|MATR_b3c4|MATR_b3c8|MATR_b1c9|MATR_b2c27|MATR_b3c25|MATR_b2c0|MATR_b4c2|MATR_b1c0|MATR_b2c13|MATR_b3c34|MATR_b3c28|MATR_b3c27|MATR_b2c10|MATR_b3c5|MATR_b2c34,483|416|681|584|119|342|107|348|1149|216|364|511|388|427|635|136,0.2479|0.1901|0.1203|0.7689|0.2945|0.4969|0.1511|0.4678|0.3133|0.7206|0.1238|0.4888|0.4665|0.4028|0.1598|0.2338,0.30033|0.21975|0.10576|0.92304|0.41162|0.70137|0.1664|0.60743|0.41651|0.90129|0.10663|0.62297|0.63761|0.53499|0.16193|0.29188,0.92668|0.96396|0.9209|0.96601|0.97076|0.95919|0.93765|0.9441|0.93578|0.95165|0.95443|0.82081|0.95257|0.89708|0.91222|0.9755
8,0.2200304120779037,0.2031375467777252,0.1369277685880661,0.0032000772189348,0.0149389468133449,0.2286181449890136,,,0.3639300945901503,1,0,2.5083559062331915,0.0646036718972027,1.0,0,MATR_b2c36|MATR_b2c4|MATR_b1c15|MATR_b2c44|MATR_b1c43|MATR_b2c35|MATR_b2c43|MATR_b1c32|MATR_b4c14|MATR_b3c0|MATR_b2c27|MATR_b4c25|MATR_b4c13|MATR_b2c5|MATR_b3c26|MATR_b3c11,447|428|18|146|574|204|245|245|51|324|276|463|144|211|447|297,0.5411|0.3329|0.6190|0.5710|0.1111|0.1262|0.4518|0.6214|0.5399|0.1626|0.7269|0.3503|0.4283|0.2924|0.6659|0.3213,0.76279|0.45829|0.8946|0.84292|0.10255|0.12664|0.64509|0.87799|0.75742|0.17371|0.88763|0.532|0.60612|0.38759|0.88124|0.43692,0.91489|0.82224|0.96996|0.97632|0.87389|0.96235|0.96556|0.97444|0.96755|0.96412|0.9483|0.76854|0.97229|0.96274|0.96251|0.96181
9,0.1979672610759735,0.180103063583374,0.138500764966011,0.0040141204372048,0.0165398977696895,0.2415620684623718,,,0.3639300945901503,1,0,2.605684274341911,0.0910963644273579,1.0,0,MATR_b3c28|MATR_b4c40|MATR_b1c44|MATR_b4c24|MATR_b4c35|MATR_b2c27|MATR_b4c26|MATR_b2c0|MATR_b1c29|MATR_b1c38|MATR_b4c43|MATR_b1c1|MATR_b3c26|MATR_b3c27|MATR_b4c5|MATR_b2c2,505|407|374|436|138|81|536|319|480|592|488|1562|632|650|281|413,0.4561|0.3817|0.3196|0.4697|0.2597|0.4889|0.5094|0.3071|0.4669|0.6653|0.1491|0.4085|0.7478|0.1044|0.6993|0.1415,0.5836|0.48316|0.44938|0.59308|0.29965|0.72288|0.5393|0.41578|0.65908|0.7649|0.15433|0.56829|0.90609|0.076906|0.87469|0.14893,0.8244|0.95228|0.96267|0.93946|0.95813|0.97277|0.6078|0.76206|0.96333|0.82822|0.93076|0.92355|0.95091|0.92374|0.93888|0.84523
10,0.1861837059259414,0.1712931245565414,0.1149428114295005,0.0033963043242692,0.0172906219959259,0.1294828653335571,,,0.3639300945901503,1,0,2.6956697120331228,0.0833368860185146,1.0,0,MATR_b4c24|MATR_b4c0|MATR_b3c16|MATR_b1c44|MATR_b1c33|MATR_b4c8|MATR_b2c23|MATR_b2c0|MATR_b2c32|MATR_b4c14|MATR_b3c38|MATR_b2c32|MATR_b3c12|MATR_b2c34|MATR_b4c28|MATR_b2c44,141|115|1613|269|167|355|205|68|247|114|912|67|71|67|37|354,0.7005|0.5784|0.6634|0.3749|0.2052|0.5869|0.4689|0.2863|0.7319|0.6698|0.5580|0.6463|0.4540|0.2557|0.4962|0.1944,0.88165|0.78161|0.73063|0.53791|0.2662|0.82082|0.66463|0.39618|0.91212|0.90818|0.72214|0.9138|0.63253|0.32534|0.68062|0.23654,0.95087|0.94694|0.8098|0.97609|0.99156|0.94343|0.9623|0.96104|0.97322|0.96673|0.94665|0.97975|0.97833|0.97664|0.97078|0.93554
