step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,validation_cell_rmse,nonfinite_gradient_parameters
1,2.1830010414123535,2.1829614639282227,0.19806338846683502,0.0002,6.671292304992676,False,1024.0,1024.0,16,0.01476012310013175,0.0007774229161441326,0.0004406627267599106,HUST_10-1|HUST_10-6|HUST_1-6|HUST_6-2|HUST_6-2|HUST_8-5|HUST_6-1|HUST_8-7|HUST_8-1|HUST_1-8|HUST_5-7|HUST_8-5|HUST_9-2|HUST_6-5|HUST_10-6|HUST_8-7,1130|1642|360|518|1050|939|1171|1560|450|1666|743|671|1352|1176|1482|581,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,125,128,128,0.8125755631313137,1.0753039949494925,-2.3714962005615234,0.9267563819885254,-0.11138916015625,-0.0309906005859375,0.6614656448364258,0.7157375812530518,0.5568944811820984,0.7908845543861389,0.5718255639076233,0.8530011773109436,0.0,74.11279296875,1258.0,0.0001,,0.3525140630081296,,
2,1.9357917308807373,1.9357128143310547,0.19732467830181122,0.0004,4.625230312347412,False,1024.0,1024.0,16,0.013396264053881168,0.0008966447785496712,0.00043846992775797844,HUST_9-5|HUST_2-8|HUST_10-1|HUST_10-4|HUST_2-6|HUST_4-6|HUST_9-7|HUST_10-5|HUST_6-8|HUST_2-6|HUST_2-8|HUST_4-6|HUST_1-8|HUST_6-4|HUST_7-4|HUST_8-2,618|692|1150|630|909|319|1376|944|1870|872|494|804|634|1353|344|1414,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14,118,128,128,0.8118593181818177,1.0654020656565646,-2.3804879188537598,0.8024490475654602,-0.161865234375,-0.0253448486328125,0.6908091902732849,0.7370843887329102,0.5571027398109436,0.7884870171546936,0.5704463720321655,0.8588939905166626,0.0,78.83349609375,1262.0,0.0001,,0.679962454829365,,
3,1.8515623807907104,1.8514461517333984,0.19367405772209167,0.0006,4.124392032623291,False,1024.0,1024.0,16,0.01255150604993105,0.0005966550670564175,0.00037824688479304314,HUST_1-6|HUST_10-5|HUST_8-7|HUST_4-6|HUST_2-6|HUST_6-5|HUST_4-8|HUST_6-2|HUST_10-1|HUST_5-3|HUST_8-2|HUST_10-8|HUST_1-8|HUST_9-1|HUST_2-2|HUST_4-6,651|925|977|465|371|686|618|1419|1022|1916|1550|862|936|818|1599|859,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,106,128,128,0.8137709772727303,1.0756683686868698,-2.3564891815185547,0.931330680847168,-0.1519775390625,-0.058380126953125,0.6982371807098389,0.7529392838478088,0.5578320622444153,0.7889528870582581,0.5715070366859436,0.8566460609436035,0.0,78.41064453125,1262.0,0.0001,,0.9729629238136113,,
4,1.7372294664382935,1.7370837926864624,0.18208366632461548,0.0008,3.3300721645355225,False,1024.0,1024.0,16,0.011667202692478895,0.0006721862591803074,0.0004220586270093918,HUST_6-8|HUST_4-1|HUST_10-4|HUST_10-2|HUST_6-5|HUST_6-8|HUST_2-6|HUST_5-7|HUST_8-6|HUST_10-3|HUST_8-4|HUST_2-5|HUST_3-6|HUST_2-5|HUST_7-4|HUST_2-3,808|1377|847|1121|609|1864|355|598|700|446|711|741|1935|843|447|1008,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11,126,128,128,0.8118593181818177,1.0778080176767666,-2.3804879188537598,0.9581915140151978,-0.1826171875,-0.104736328125,0.7070311903953552,0.7806622982025146,0.5581448674201965,0.7831765413284302,0.5722504258155823,0.8272139430046082,0.0,79.11572265625,1514.0,0.0001,,1.3155885711312294,,
5,1.7916587591171265,1.791487693786621,0.17104294896125793,0.001,3.6654276847839355,False,1024.0,1024.0,16,0.015128551051020622,0.0009244880639016628,0.0004948736168444157,HUST_6-8|HUST_4-7|HUST_4-5|HUST_4-6|HUST_10-3|HUST_8-4|HUST_8-7|HUST_8-2|HUST_6-4|HUST_9-8|HUST_6-1|HUST_8-5|HUST_7-1|HUST_9-2|HUST_4-4|HUST_8-6,1873|708|1027|995|1105|1088|1556|640|354|511|743|753|1028|1383|356|1085,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13,128,128,128,0.812708194444444,1.076040358585855,-2.369831085205078,0.9360005855560303,-0.2314453125,-0.11956787109375,0.7278067469596863,0.7756497859954834,0.5582491755485535,0.7809266448020935,0.5718255639076233,0.8534212708473206,0.0,79.18603515625,1772.0,0.0001,,1.6683986312709749,,
6,1.8445348739624023,1.8442816734313965,0.21095743775367737,0.0012,3.945657253265381,False,1024.0,1024.0,16,0.013254669960588217,0.0005751149728894234,0.0004051770083606243,HUST_3-6|HUST_8-6|HUST_2-8|HUST_1-6|HUST_4-5|HUST_2-3|HUST_1-6|HUST_7-4|HUST_10-4|HUST_1-6|HUST_1-6|HUST_5-3|HUST_9-8|HUST_10-4|HUST_5-7|HUST_8-5,1931|1329|725|461|835|1372|841|353|1045|647|374|2098|1581|758|898|324,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,124,128,128,0.8118593181818177,1.0523978383838342,-2.3804879188537598,0.63919597864151,-0.2406005859375,-0.136474609375,0.7276176810264587,0.7868914008140564,0.5595018267631531,0.7784172296524048,0.5732071995735168,0.8451840281486511,0.0,79.04541015625,1772.0,0.0001,,2.008291631937027,,
7,1.6935513019561768,1.6933025121688843,0.17767030000686646,0.0014,3.0339107513427734,False,1024.0,1024.0,16,0.014712924137711525,0.0006023161113262177,0.0004047057591378689,HUST_3-6|HUST_6-8|HUST_10-6|HUST_8-6|HUST_1-4|HUST_7-8|HUST_10-1|HUST_7-4|HUST_1-2|HUST_3-5|HUST_10-4|HUST_2-3|HUST_3-6|HUST_8-5|HUST_10-4|HUST_5-6,1905|915|946|619|364|1205|647|993|698|535|1271|1344|979|383|1083|1642,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10,126,128,128,0.8115353888888837,1.0919010934343374,-2.384554386138916,1.1351138353347778,-0.2587890625,-0.1278076171875,0.7316601276397705,0.8116595149040222,0.5597108006477356,0.7758472561836243,0.571931779384613,0.8403216004371643,0.0,79.11572265625,1772.0,0.0001,,2.3535735770128667,,
8,1.6254184246063232,1.625110387802124,0.19254258275032043,0.0016,2.896900177001953,False,1024.0,1024.0,16,0.011206903029233217,0.0005777799524366856,0.0003952481783926487,HUST_10-5|HUST_8-2|HUST_6-4|HUST_6-8|HUST_1-6|HUST_2-3|HUST_10-3|HUST_5-6|HUST_4-8|HUST_4-8|HUST_1-4|HUST_10-6|HUST_1-8|HUST_3-6|HUST_9-7|HUST_8-4,1021|1433|769|1257|850|1205|399|1520|372|1014|335|1345|672|1088|1371|409,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,20,115,128,128,0.8137709772727303,1.080316383838383,-2.3564891815185547,0.9896811246871948,-0.272216796875,-0.1832275390625,0.7338139414787292,0.8197540640830994,0.5612800121307373,0.7732173800468445,0.5722504258155823,0.8294123411178589,0.0,78.72802734375,1772.0,0.0001,,2.668678949121386,,
9,1.4852712154388428,1.484978199005127,0.16280445456504822,0.0018,2.2468135356903076,False,1024.0,1024.0,16,0.01063844095915556,0.0005596061237156391,0.0003948579542338848,HUST_10-1|HUST_10-3|HUST_8-1|HUST_2-8|HUST_8-6|HUST_4-6|HUST_9-7|HUST_2-2|HUST_4-7|HUST_9-5|HUST_8-2|HUST_4-8|HUST_6-4|HUST_1-6|HUST_10-3|HUST_8-1,958|940|497|901|643|912|1138|974|594|1414|1011|1025|754|346|498|630,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,117,128,128,0.8125755631313137,1.0838589393939355,-2.3714962005615234,1.0341538190841675,-0.302734375,-0.218505859375,0.7621060609817505,0.8172316551208496,0.560965895652771,0.7770326733589172,0.5756577849388123,0.825019359588623,0.0,78.79833984375,1772.0,0.0001,,2.988527785986662,,
10,1.4620192050933838,1.461692214012146,0.16349388659000397,0.002,2.5177600383758545,False,1024.0,1024.0,16,0.012556484900414944,0.0006094588898122311,0.00043963128700852394,HUST_6-5|HUST_2-6|HUST_9-1|HUST_7-4|HUST_9-8|HUST_2-8|HUST_9-2|HUST_5-6|HUST_10-1|HUST_1-6|HUST_4-1|HUST_10-3|HUST_6-2|HUST_2-2|HUST_9-5|HUST_10-4,1311|1018|1168|912|945|729|1687|1184|397|521|457|1378|856|1117|1515|575,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,122,128,128,0.8118593181818177,1.0616633636363628,-2.3804879188537598,0.7555139660835266,-0.3388671875,-0.2425537109375,0.7584044933319092,0.8390741944313049,0.560651957988739,0.7750576734542847,0.5714009404182434,0.8287249207496643,0.0,78.97509765625,1772.0,0.0001,,3.322273634839803,,
11,1.5602307319641113,1.5597593784332275,0.21424880623817444,0.0022,2.813743829727173,False,1024.0,1024.0,16,0.011412197258323431,0.0007609119638800621,0.00042744865640997887,HUST_7-4|HUST_10-4|HUST_6-2|HUST_10-4|HUST_4-7|HUST_9-2|HUST_2-2|HUST_1-6|HUST_6-5|HUST_8-1|HUST_9-5|HUST_5-6|HUST_9-2|HUST_9-1|HUST_3-5|HUST_10-8,462|1118|459|1363|1748|933|1809|804|733|836|724|965|1066|1627|847|716,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11,124,128,128,0.8118593181818177,1.0796786843434325,-2.3804879188537598,0.9816755652427673,-0.371337890625,-0.25732421875,0.7454158663749695,0.8371360898017883,0.5614895224571228,0.7848998308181763,0.5750177502632141,0.8472734093666077,0.0,79.04541015625,1772.0,0.0001,,3.661553476937115,,
12,1.5369707345962524,1.5365427732467651,0.17830531299114227,0.0024,2.8704934120178223,False,1024.0,1024.0,16,0.011380317155271769,0.0007787048816680908,0.00044336821883916855,HUST_7-4|HUST_4-1|HUST_9-3|HUST_5-7|HUST_4-6|HUST_10-4|HUST_8-1|HUST_10-5|HUST_1-2|HUST_6-5|HUST_8-2|HUST_9-1|HUST_6-1|HUST_10-1|HUST_5-7|HUST_5-6,372|685|1143|1124|981|658|683|1214|1947|1676|790|1004|420|1317|467|1709,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,124,128,128,0.8118593181818177,1.055002343434342,-2.3804879188537598,0.671892523765564,-0.380615234375,-0.253173828125,0.7664070725440979,0.8179810047149658,0.5621182918548584,0.7835077047348022,0.5724629759788513,0.8457408547401428,0.0,79.04541015625,1772.0,0.0001,,4.001015840098262,,
13,1.526257038116455,1.5256481170654297,0.23419146239757538,0.0026,3.131513833999634,False,1024.0,1024.0,16,0.010297744069248438,0.000562931876629591,0.000398305244743824,HUST_3-6|HUST_8-8|HUST_5-6|HUST_5-3|HUST_1-6|HUST_8-1|HUST_8-2|HUST_4-4|HUST_10-6|HUST_5-6|HUST_6-5|HUST_6-8|HUST_10-1|HUST_10-4|HUST_4-4|HUST_8-4,1967|1039|1847|1212|734|532|1348|735|1371|807|1119|1123|434|1162|985|1473,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,118,128,128,0.8125755631313137,1.0542599494949514,-2.3714962005615234,0.6625726819038391,-0.43505859375,-0.264892578125,0.7526812553405762,0.8479706645011902,0.5622231364250183,0.784966230392456,0.5738457441329956,0.8422644734382629,0.0,78.83349609375,1772.0,0.0001,,4.469913418870419,,
14,1.473193645477295,1.4727303981781006,0.16542920470237732,0.0028,2.3197085857391357,False,1024.0,1024.0,16,0.012120820581912994,0.0007369681261479855,0.0004422762431204319,HUST_3-5|HUST_4-7|HUST_2-6|HUST_9-3|HUST_7-8|HUST_4-8|HUST_1-6|HUST_8-7|HUST_4-8|HUST_10-5|HUST_1-2|HUST_9-7|HUST_4-6|HUST_3-6|HUST_9-2|HUST_10-3,1943|1531|351|588|1525|1182|514|499|426|1331|1265|798|853|1365|1114|394,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,30,119,128,128,0.8115353888888837,1.0772718762626252,-2.384554386138916,0.9514608383178711,-0.47119140625,-0.33837890625,0.7555878162384033,0.8295498490333557,0.5630624890327454,0.7958946824073792,0.5760847926139832,0.8316143751144409,0.0,78.86865234375,1772.0,0.0001,,4.796667265240103,,
15,1.4432846307754517,1.4427343606948853,0.1834053099155426,0.003,2.4710569381713867,False,1024.0,1024.0,16,0.011746942065656185,0.000736757181584835,0.0004311259835958481,HUST_8-6|HUST_2-2|HUST_8-1|HUST_8-1|HUST_6-5|HUST_9-2|HUST_10-6|HUST_7-1|HUST_10-6|HUST_8-7|HUST_2-8|HUST_1-8|HUST_4-1|HUST_6-5|HUST_6-5|HUST_4-5,663|1469|785|523|758|1483|1779|806|1398|619|904|784|1750|1525|793|999,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,113,128,128,0.8125755631313137,1.0745093661616187,-2.3714962005615234,0.9167807102203369,-0.47802734375,-0.32275390625,0.760546088218689,0.8376894593238831,0.5639026761054993,0.8001863956451416,0.5760847926139832,0.8277631402015686,0.0,78.65771484375,1772.0,0.0001,,5.108429035171866,,
16,1.456810474395752,1.4563021659851074,0.1588580310344696,0.0032,2.329181671142578,False,1024.0,1024.0,16,0.014151034876704216,0.0007293629460036755,0.00039652083069086075,HUST_9-5|HUST_7-1|HUST_7-8|HUST_10-8|HUST_9-4|HUST_3-5|HUST_3-5|HUST_7-1|HUST_10-8|HUST_4-8|HUST_10-5|HUST_1-8|HUST_3-5|HUST_2-3|HUST_5-7|HUST_9-2,1708|497|945|341|679|814|1975|974|1108|586|1523|1163|1367|1286|729|559,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,115,128,128,0.8115353888888837,1.0758200252525212,-2.384554386138916,0.9332345724105835,-0.57080078125,-0.3623046875,0.7469229102134705,0.8198904991149902,0.5654807090759277,0.803415060043335,0.5759779810905457,0.8418478965759277,0.0,78.72802734375,1772.0,0.0001,,5.427694851066917,,
17,1.3767197132110596,1.3761744499206543,0.1603807806968689,0.0034,1.9266670942306519,False,1024.0,1024.0,16,0.013019280042499304,0.0007262970320880413,0.000399135984480381,HUST_5-7|HUST_10-3|HUST_8-6|HUST_3-6|HUST_10-4|HUST_1-4|HUST_6-4|HUST_2-3|HUST_9-5|HUST_6-4|HUST_2-5|HUST_8-7|HUST_6-5|HUST_9-8|HUST_2-8|HUST_6-8,931|799|1244|1667|540|1045|964|960|593|977|886|676|1630|492|417|899,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,17,125,128,128,0.81275236363636,1.0707498989898991,-2.369276762008667,0.8695849776268005,-0.52734375,-0.37890625,0.7566230297088623,0.8284500241279602,0.5651648640632629,0.8063146471977234,0.5749111175537109,0.8239919543266296,0.0,79.08056640625,1772.0,0.0001,,5.770872894208878,,
18,1.4495421648025513,1.4488356113433838,0.19626003503799438,0.0036,2.404550075531006,False,1024.0,1024.0,16,0.009873861912637949,0.0006219721399247646,0.00043457187712192535,HUST_2-6|HUST_7-8|HUST_10-4|HUST_9-8|HUST_10-5|HUST_9-2|HUST_6-8|HUST_5-6|HUST_10-8|HUST_1-8|HUST_7-4|HUST_4-6|HUST_8-6|HUST_4-5|HUST_10-6|HUST_2-3,1030|782|759|1481|446|1592|1546|1447|1103|467|837|299|1414|463|1501|1261,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,127,128,128,0.8115353888888837,1.0760851818181807,-2.384554386138916,0.9365633130073547,-0.53955078125,-0.405029296875,0.752519965171814,0.844071090221405,0.5653753876686096,0.8123376965522766,0.5788121819496155,0.8354770541191101,0.0,79.15087890625,1772.0,0.0001,,6.115222146268934,,
